,Season,Name,xBB%,BB%,%
225,2018,Bryce Harper,0.157,0.187,3
404,2019,Yasmani Grandal,0.146,0.172,2.6
65,2014,Jose Bautista,0.132,0.155,2.3
536,2021,Josh Donaldson,0.116,0.136,2
820,2011,Ryan Roberts,0.099,0.119,2
736,2018,Michael Conforto,0.113,0.132,1.9
601,2016,Carlos Correa,0.095,0.114,1.9
374,2014,Jose Altuve,0.032,0.051,1.9
9,2017,Mike Trout,0.166,0.185,1.9
8,2011,Miguel Cabrera,0.139,0.157,1.8
609,2017,Yasiel Puig,0.095,0.112,1.7
140,2012,Josh Hamilton,0.078,0.094,1.6
727,2018,Kyle Schwarber,0.137,0.153,1.6
5,2011,Jose Bautista,0.187,0.202,1.5
124,2021,Corey Seager,0.102,0.117,1.5
747,2016,Yadier Molina,0.052,0.067,1.5
819,2021,Anthony Rizzo,0.075,0.09,1.5
89,2018,Justin Turner,0.095,0.11,1.5
1123,2018,Buster Posey,0.086,0.1,1.4
0,2015,Bryce Harper,0.176,0.19,1.4
214,2021,Brandon Crawford,0.088,0.102,1.4
742,2014,Luis Valbuena,0.106,0.119,1.3
668,2019,Paul Goldschmidt,0.101,0.114,1.3
237,2017,Justin Bour,0.097,0.11,1.3
229,2018,Matt Carpenter,0.138,0.151,1.3
490,2019,Max Kepler,0.089,0.101,1.2
860,2011,Torii Hunter,0.084,0.096,1.2
302,2018,David Peralta,0.066,0.078,1.2
172,2019,Aaron Judge,0.131,0.143,1.2
610,2016,Hunter Pence,0.086,0.097,1.1
980,2017,Andrew Benintendi,0.095,0.106,1.1
359,2012,Miguel Montero,0.116,0.127,1.1
12,2017,J.D. Martinez,0.098,0.108,1
166,2013,Joe Mauer,0.11,0.12,1
136,2019,Freddie Freeman,0.116,0.126,1
806,2014,Brian Dozier,0.116,0.126,1
913,2012,Mark Reynolds,0.127,0.136,0.9
723,2018,Joey Gallo,0.119,0.128,0.9
809,2014,Brandon Moss,0.107,0.116,0.9
264,2012,Austin Jackson,0.1,0.109,0.9
934,2019,Kolten Wong,0.077,0.086,0.9
287,2014,Matt Kemp,0.078,0.087,0.9
681,2016,Stephen Piscotty,0.071,0.079,0.8
160,2012,Aramis Ramirez,0.062,0.07,0.8
612,2021,Joey Gallo,0.172,0.18,0.8
1217,2015,Mark Canha,0.06,0.068,0.8
252,2019,Trey Mancini,0.085,0.093,0.8
441,2018,Tommy Pham,0.11,0.118,0.8
153,2013,Josh Donaldson,0.107,0.114,0.7
446,2013,Prince Fielder,0.098,0.105,0.7
682,2018,Cody Bellinger,0.103,0.109,0.6
1163,2013,Marco Scutaro,0.076,0.082,0.6
959,2011,Melvin Upton Jr.,0.105,0.111,0.6
633,2015,Jose Altuve,0.043,0.048,0.5
282,2014,Nelson Cruz,0.076,0.081,0.5
1210,2013,Chris Denorfia,0.076,0.081,0.5
139,2014,Devin Mesoraco,0.089,0.093,0.4
1086,2021,Austin Meadows,0.096,0.1,0.4
1169,2021,Christian Yelich,0.143,0.147,0.4
575,2017,Jay Bruce,0.088,0.092,0.4
1265,2017,Nick Markakis,0.097,0.101,0.4
675,2016,Yangervis Solarte,0.064,0.068,0.4
1048,2017,Chase Headley,0.098,0.102,0.4
545,2012,Ryan Zimmerman,0.085,0.089,0.4
1262,2016,Nick Markakis,0.1,0.104,0.4
1297,2018,Jason Heyward,0.082,0.086,0.4
209,2016,Ryan Braun,0.079,0.082,0.3
617,2017,Steven Souza Jr.,0.133,0.136,0.3
1150,2014,Nick Markakis,0.084,0.087,0.3
634,2016,Jason Kipnis,0.084,0.087,0.3
1021,2018,Denard Span,0.099,0.102,0.3
1143,2017,Denard Span,0.072,0.074,0.2
1031,2014,Marlon Byrd,0.053,0.055,0.2
892,2016,Matt Holliday,0.08,0.082,0.2
438,2015,Lucas Duda,0.117,0.119,0.2
484,2019,Trea Turner,0.075,0.076,0.1
957,2018,Brian Anderson,0.092,0.093,0.1
518,2014,Carlos Santana,0.17,0.171,0.1
72,2013,David Ortiz,0.126,0.127,0.1
782,2013,Alfonso Soriano,0.057,0.058,0.1
115,2013,David Wright,0.111,0.112,0.1
1284,2021,Jonathan Villar,0.09,0.091,0.1
884,2019,Marcell Ozuna,0.112,0.113,0.1
870,2013,Nick Swisher,0.12,0.121,0.1
1101,2015,Brian McCann,0.096,0.097,0.1
1125,2021,Trey Mancini,0.083,0.083,0
454,2017,Dexter Fowler,0.128,0.128,0
864,2016,C.J. Cron,0.054,0.054,0
767,2021,Trevor Story,0.089,0.089,0
36,2011,Matt Kemp,0.107,0.107,0
1198,2013,David DeJesus,0.089,0.089,0
559,2011,Carlos Santana,0.147,0.147,0
994,2019,Christian Vazquez,0.063,0.063,0
827,2011,Adam Jones,0.047,0.047,0
99,2011,Curtis Granderson,0.123,0.123,0
280,2016,Carlos Santana,0.144,0.144,0
598,2021,Jorge Polanco,0.071,0.07,-0.1
1032,2013,Matt Joyce,0.124,0.123,-0.1
923,2013,Ben Zobrist,0.104,0.103,-0.1
1072,2021,Andrew Benintendi,0.068,0.067,-0.1
500,2013,Chris Johnson,0.054,0.053,-0.1
312,2012,Yoenis Cespedes,0.081,0.08,-0.1
571,2017,Carlos Santana,0.133,0.132,-0.1
652,2015,Adam Eaton,0.085,0.084,-0.1
581,2011,Brian McCann,0.109,0.108,-0.1
1028,2016,Marcell Ozuna,0.072,0.071,-0.1
954,2016,Brad Miller,0.08,0.078,-0.2
935,2021,Ryan McMahon,0.101,0.099,-0.2
303,2013,Adam Lind,0.1,0.098,-0.2
837,2018,A.J. Pollock,0.069,0.067,-0.2
1007,2019,Chris Taylor,0.091,0.089,-0.2
40,2014,Jose Abreu,0.084,0.082,-0.2
726,2013,Jose Reyes,0.083,0.081,-0.2
402,2017,Travis Shaw,0.102,0.099,-0.3
1120,2016,Eric Hosmer,0.088,0.085,-0.3
1077,2017,Matt Kemp,0.061,0.058,-0.3
216,2012,Billy Butler,0.083,0.08,-0.3
1195,2014,Carlos Ruiz,0.106,0.103,-0.3
711,2016,Giancarlo Stanton,0.109,0.106,-0.3
712,2012,Carlos Santana,0.152,0.149,-0.3
548,2021,Josh Bell,0.117,0.114,-0.3
1059,2017,Odubel Herrera,0.058,0.055,-0.3
1241,2013,J.J. Hardy,0.062,0.059,-0.3
1091,2012,Alex Avila,0.144,0.141,-0.3
970,2015,Pedro Alvarez,0.102,0.098,-0.4
445,2021,Justin Turner,0.104,0.1,-0.4
880,2013,Howie Kendrick,0.049,0.045,-0.4
1010,2013,Welington Castillo,0.083,0.079,-0.4
164,2016,Nelson Cruz,0.097,0.093,-0.4
521,2019,Shin-Soo Choo,0.122,0.118,-0.4
286,2021,Yordan Alvarez,0.089,0.084,-0.5
878,2021,Ozzie Albies,0.074,0.069,-0.5
1285,2011,Ty Wigginton,0.09,0.085,-0.5
608,2018,Yasiel Puig,0.086,0.081,-0.5
993,2015,Seth Smith,0.109,0.104,-0.5
728,2017,Matt Joyce,0.126,0.121,-0.5
258,2016,Corey Seager,0.084,0.079,-0.5
613,2016,Derek Dietrich,0.083,0.078,-0.5
632,2018,Jed Lowrie,0.121,0.115,-0.6
920,2019,Jose Ramirez,0.102,0.096,-0.6
542,2012,Bryce Harper,0.1,0.094,-0.6
676,2019,Christian Walker,0.117,0.111,-0.6
990,2019,Kyle Seager,0.106,0.099,-0.7
1108,2011,Johnny Damon,0.086,0.079,-0.7
174,2017,Marwin Gonzalez,0.102,0.095,-0.7
1054,2019,Scott Kingery,0.075,0.068,-0.7
716,2017,Elvis Andrus,0.062,0.055,-0.7
1191,2018,Nomar Mazara,0.082,0.075,-0.7
628,2011,Chipper Jones,0.108,0.1,-0.8
551,2012,Jason Kubel,0.108,0.1,-0.8
80,2012,Carlos Ruiz,0.077,0.069,-0.8
825,2018,Hunter Renfroe,0.076,0.068,-0.8
1247,2012,Dayan Viciedo,0.06,0.052,-0.8
695,2017,Yuli Gurriel,0.047,0.039,-0.8
702,2011,J.J. Hardy,0.063,0.055,-0.8
1035,2013,Chase Headley,0.121,0.112,-0.9
791,2018,Randal Grichuk,0.067,0.058,-0.9
703,2019,Jose Abreu,0.061,0.052,-0.9
191,2019,Austin Meadows,0.1,0.091,-0.9
203,2019,Miguel Sano,0.134,0.125,-0.9
798,2016,Jay Bruce,0.084,0.075,-0.9
520,2015,Mike Moustakas,0.08,0.07,-1
684,2016,Evan Gattis,0.096,0.086,-1
921,2016,Adrian Gonzalez,0.097,0.087,-1
1011,2015,Carlos Santana,0.173,0.162,-1.1
246,2019,J.D. Davis,0.095,0.084,-1.1
315,2016,Christian Yelich,0.12,0.109,-1.1
1188,2018,Ozzie Albies,0.064,0.053,-1.1
45,2013,Carlos Gonzalez,0.106,0.094,-1.2
1268,2012,Michael Saunders,0.09,0.078,-1.2
1299,2017,Melky Cabrera,0.066,0.054,-1.2
1283,2017,Ryon Healy,0.051,0.038,-1.3
940,2014,Aramis Ramirez,0.053,0.04,-1.3
811,2016,Curtis Granderson,0.13,0.117,-1.3
20,2013,Chris Davis,0.12,0.107,-1.3
845,2011,Chase Utley,0.099,0.086,-1.3
1288,2011,Vladimir Guerrero,0.043,0.029,-1.4
874,2014,Jon Jay,0.074,0.06,-1.4
875,2016,Rougned Odor,0.044,0.03,-1.4
1037,2012,Carlos Gomez,0.058,0.044,-1.4
549,2017,Brandon Belt,0.161,0.146,-1.5
477,2011,Jhonny Peralta,0.085,0.069,-1.6
1215,2015,Jhonny Peralta,0.094,0.078,-1.6
570,2011,Josh Willingham,0.115,0.099,-1.6
488,2011,Ryan Howard,0.132,0.116,-1.6
1044,2013,Everth Cabrera,0.111,0.094,-1.7
525,2016,Justin Turner,0.094,0.077,-1.7
1206,2016,Kevin Kiermaier,0.114,0.097,-1.7
560,2016,Starling Marte,0.062,0.043,-1.9
840,2011,Jon Jay,0.076,0.056,-2
725,2015,Christian Yelich,0.111,0.09,-2.1
797,2018,Matt Olson,0.129,0.106,-2.3
530,2019,Starling Marte,0.068,0.043,-2.5
434,2015,Brandon Belt,0.127,0.101,-2.6
44,2016,Daniel Murphy,0.086,0.06,-2.6
132,2018,Ronald Acuna Jr.,0.119,0.092,-2.7